wikimedia	विशेषताएँ	ᱣᱤᱥᱷᱮᱥᱷᱛᱟ
nllb	31 मंत्रालय और विभाग	᱓ ᱨᱟᱡᱽᱟᱹᱨᱤ ᱟᱨ ᱥᱚᱨᱠᱟᱨ
nllb	३३ एर इंडिया	᱓ ᱥᱤᱧᱚᱛ ᱵᱟᱨᱦᱮ
nllb	ये मंगोलियन	ᱱᱚᱭᱚᱱ ᱢᱳᱝᱜᱤᱭᱟ
nllb	होंडुरास की आधिकारिक भाषा स्पेनिश है।	ᱜᱽᱨᱤᱥ ᱨᱮᱱᱟᱜ ᱡᱟᱹᱛᱤᱭᱟᱹᱨᱤ ᱯᱟᱹᱨᱥᱤ ᱫᱚ ᱜᱽᱨᱤᱠ ᱠᱟᱱᱟ᱾
nllb	आज न तू है ना तेरा साथ है	ᱟᱢ ᱛᱮᱦᱮᱧ ᱵᱟᱝᱼᱮᱢ ᱨᱚᱯᱚᱲ ᱠᱟᱱᱟ ᱤᱧ ᱥᱟᱶᱛᱮ
wikimedia	बाहरी कड़ियाँ	ᱵᱟᱦᱨᱮ ᱡᱚᱱᱚᱲ ᱠᱚ
nllb	भारत सबसे बड़ा देश	ᱚᱥᱴᱨᱮᱞᱤᱭᱟ ᱫᱚ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱢᱟᱨᱟᱝ ᱢᱟᱦᱟᱫᱮᱥ ᱠᱟᱱᱟ
nllb	यहां जानिए:	ᱱᱚᱣᱟ ᱦᱟᱹᱴᱤᱧ ᱢᱮ:
nllb	हम अब तक इससे परिचित हैं।	ᱱᱚᱣᱟ ᱦᱟᱹᱴᱤᱧ ᱨᱮ ᱱᱚᱣᱟ ᱠᱚ ᱵᱟᱰᱟᱭ ᱮᱢᱟ ᱠᱟᱱᱟ.
nllb	आदर्शः हर किसी के लिए	ᱡᱚᱥ: ᱡᱚᱛᱚ ᱠᱚ ᱞᱟᱹᱜᱤᱫ ᱥᱚᱦᱚᱨ
nllb	पेज ३ - २००५	ᱥᱟᱞᱮ ᱒᱐᱐᱓-᱒᱐᱐᱔
